,소재지전체주소,사업장명,업태구분명,지역
6260,서울특별시 종로구 창신동 302-5 ,카이식탁 (Kai Table),호프/통닭,창신동
6319,서울특별시 종로구 숭인동 1263 수도회화전문확원 ,서기맥주,호프/통닭,숭인동
6330,서울특별시 종로구 창신동 583-95번지 ,고흥식당,호프/통닭,창신동
6334,서울특별시 종로구 종로5가 249번지 ,한일당구장,호프/통닭,종로5가
6360,"서울특별시 종로구 관철동 7-4 1, 2층 ",굽네치킨 종각역점,호프/통닭,관철동
6440,서울특별시 종로구 종로5가 27-1 1층 ,한국통닭 종로5가점,호프/통닭,종로5가
6457,서울특별시 종로구 창신동 406-1 2층 ,동근이숯불두마리치킨 창신점,호프/통닭,창신동
6519,서울특별시 종로구 묘동 175 이화빌딩 ,커먼투 Common two,호프/통닭,묘동
6656,서울특별시 종로구 청진동 165-5번지 ,유선,호프/통닭,청진동
6663,서울특별시 종로구 관수동 21-2번지 ,하마,호프/통닭,관수동
6733,서울특별시 종로구 혜화동 89-1 ,이나살치킨,호프/통닭,혜화동
6843,서울특별시 종로구 관훈동 155-2 ,(주)엠케이펍,호프/통닭,관훈동
6856,서울특별시 종로구 종로5가 398-16번지 ,청계천,호프/통닭,종로5가
7030,서울특별시 종로구 창신동 433-1번지 ,동신,호프/통닭,창신동
7031,서울특별시 종로구 통의동 35-97번지 ,아카데미,호프/통닭,통의동
7037,서울특별시 종로구 명륜3가 1-215번지 ,비어닭컴,호프/통닭,명륜3가
7040,서울특별시 종로구 창신동 687-4 ,타임,호프/통닭,창신동
7224,서울특별시 종로구 동숭동 1-58 ,투뿔소,통닭(치킨),동숭동
7633,서울특별시 종로구 명륜2가 195-11번지 지상1층 ,펍라붐(PUB LABOUM),호프/통닭,명륜2가
7684,서울특별시 종로구 관철동 10-2번지 ,쿠퍼스,호프/통닭,관철동
7707,서울특별시 종로구 사직동 217-1번지 ,현대,호프/통닭,사직동
7851,서울특별시 종로구 명륜2가 143-9번지 2층 ,청년곱창 198,호프/통닭,명륜2가
7900,서울특별시 종로구 평창동 325 ,와키,호프/통닭,평창동
7901,서울특별시 종로구 종로3가 6번지 ,디토,호프/통닭,종로3가
8007,서울특별시 종로구 돈의동 170-0번지 ,알콜뱅크,호프/통닭,돈의동
8087,서울특별시 종로구 관철동 19-20번지 ,하이트비어플러스,호프/통닭,관철동
8168,서울특별시 종로구 명륜2가 39-0번지 ,아이다호,호프/통닭,명륜2가
8428,서울특별시 종로구 창신동 217-1번지 ,티엔티,호프/통닭,창신동
8431,서울특별시 종로구 도렴동 60번지 지하1층 43호 ,미,호프/통닭,도렴동
8501,서울특별시 종로구 숭인동 217-9번지 ,땡기는날,호프/통닭,숭인동
8518,서울특별시 종로구 도렴동 115-4번지 ,잭클래식바(Jack Classic Bar),호프/통닭,도렴동
8533,서울특별시 종로구 관철동 7-17번지 ,닌자짱,호프/통닭,관철동
8601,서울특별시 종로구 창신동 583-6번지 ,고요로스칸,호프/통닭,창신동
8726,서울특별시 종로구 숭인동 202-3번지 지상1층 ,이서방치킨,통닭(치킨),숭인동
8773,서울특별시 종로구 혜화동 136번지 ,카라,호프/통닭,혜화동
8781,서울특별시 종로구 교북동 12-15번지 ,엘엔비,호프/통닭,교북동
8841,서울특별시 종로구 낙원동 194번지 덕우빌딩 ,함지,호프/통닭,낙원동
8847,서울특별시 종로구 돈의동 152-2번지 ,다락촌,호프/통닭,돈의동
8885,서울특별시 종로구 동숭동 1-96번지 ,루미대학로점,호프/통닭,동숭동
8888,서울특별시 종로구 동숭동 1-48번지 ,캘리포니아,호프/통닭,동숭동
8942,서울특별시 종로구 부암동 185-5번지 ,골뱅이집바다,호프/통닭,부암동
